,RSSI,SNR,Freq,Prx,PL,Location,lat,long,Nb_floor,wall,Dist
236,-67,8.8,868500000,-67,87,loc_13,33.8656337,35.5633906,2,2,34.11401882
237,-69,9.8,868300000,-69,89,loc_13,33.8656337,35.5633906,2,2,34.11401882
238,-73,9.8,868100000,-73,93,loc_13,33.8656337,35.5633906,2,2,34.11401882
239,-73,10.8,868100000,-73,93,loc_13,33.8656337,35.5633906,2,2,34.11401882
240,-67,10.2,868300000,-67,87,loc_13,33.8656337,35.5633906,2,2,34.11401882
241,-66,6.8,868500000,-66,86,loc_13,33.8656337,35.5633906,2,2,34.11401882
242,-71,11,868100000,-71,91,loc_13,33.8656337,35.5633906,2,2,34.11401882
243,-69,9,868100000,-69,89,loc_13,33.8656337,35.5633906,2,2,34.11401882
244,-71,11.8,868100000,-71,91,loc_13,33.8656337,35.5633906,2,2,34.11401882
245,-68,10.5,868100000,-68,88,loc_13,33.8656337,35.5633906,2,2,34.11401882
246,-69,11.5,868300000,-69,89,loc_13,33.8656337,35.5633906,2,2,34.11401882
247,-65,6.5,868500000,-65,85,loc_13,33.8656337,35.5633906,2,2,34.11401882
248,-69,9,868100000,-69,89,loc_13,33.8656337,35.5633906,2,2,34.11401882
249,-65,9,868300000,-65,85,loc_13,33.8656337,35.5633906,2,2,34.11401882
250,-65,8,868500000,-65,85,loc_13,33.8656337,35.5633906,2,2,34.11401882
251,-67,7.5,868500000,-67,87,loc_13,33.8656337,35.5633906,2,2,34.11401882
252,-68,10,868100000,-68,88,loc_13,33.8656337,35.5633906,2,2,34.11401882
253,-66,7.5,868500000,-66,86,loc_13,33.8656337,35.5633906,2,2,34.11401882
254,-88,7.8,868500000,-88,108,loc_14,33.8656837,35.5632446,3,3,47.83448969
255,-99,10,868100000,-99,119,loc_14,33.8656837,35.5632446,3,3,47.83448969
256,-101,9.2,868100000,-101,121,loc_14,33.8656837,35.5632446,3,3,47.83448969
257,-91,10,868100000,-91,111,loc_14,33.8656837,35.5632446,3,3,47.83448969
258,-99,6.8,868500000,-99,119,loc_14,33.8656837,35.5632446,3,3,47.83448969
259,-89,6.8,868500000,-89,109,loc_14,33.8656837,35.5632446,3,3,47.83448969
260,-95,8.8,868100000,-95,115,loc_14,33.8656837,35.5632446,3,3,47.83448969
261,-93,8.5,868500000,-93,113,loc_14,33.8656837,35.5632446,3,3,47.83448969
262,-102,6.8,868500000,-102,122,loc_14,33.8656837,35.5632446,3,3,47.83448969
263,-101,8.2,868300000,-101,121,loc_14,33.8656837,35.5632446,3,3,47.83448969
264,-101,9.2,868300000,-101,121,loc_14,33.8656837,35.5632446,3,3,47.83448969
265,-87,7,868500000,-87,107,loc_14,33.8656837,35.5632446,3,3,47.83448969
266,-93,8.2,868500000,-93,113,loc_14,33.8656837,35.5632446,3,3,47.83448969
267,-95,9,868100000,-95,115,loc_14,33.8656837,35.5632446,3,3,47.83448969
268,-96,9,868100000,-96,116,loc_14,33.8656837,35.5632446,3,3,47.83448969
269,-95,8.2,868300000,-95,115,loc_14,33.8656837,35.5632446,3,3,47.83448969
270,-94,9.5,868100000,-94,114,loc_14,33.8656837,35.5632446,3,3,47.83448969
271,-89,10.5,868300000,-89,109,loc_14,33.8656837,35.5632446,3,3,47.83448969
272,-108,7.8,868300000,-108,128,loc_14,33.8656837,35.5632446,3,3,47.83448969
273,-85,9,868300000,-85,105,loc_14,33.8656837,35.5632446,3,3,47.83448969
274,-96,9.2,868300000,-96,116,loc_15,33.8656314,35.5631648,3,3,54.96333509
275,-95,7.5,868500000,-95,115,loc_15,33.8656314,35.5631648,3,3,54.96333509
276,-99,6.8,868500000,-99,119,loc_15,33.8656314,35.5631648,3,3,54.96333509
277,-95,8,868300000,-95,115,loc_15,33.8656314,35.5631648,3,3,54.96333509
278,-93,6.8,868500000,-93,113,loc_15,33.8656314,35.5631648,3,3,54.96333509
279,-92,7.2,868500000,-92,112,loc_15,33.8656314,35.5631648,3,3,54.96333509
280,-94,3.5,868500000,-94,114,loc_15,33.8656314,35.5631648,3,3,54.96333509
281,-97,9.8,868300000,-97,117,loc_15,33.8656314,35.5631648,3,3,54.96333509
282,-91,9.5,868100000,-91,111,loc_15,33.8656314,35.5631648,3,3,54.96333509
283,-96,9.5,868300000,-96,116,loc_15,33.8656314,35.5631648,3,3,54.96333509
284,-102,2.2,868300000,-102,122,loc_15,33.8656314,35.5631648,3,3,54.96333509
285,-92,9.8,868100000,-92,112,loc_15,33.8656314,35.5631648,3,3,54.96333509
286,-105,7.5,868500000,-105,125,loc_15,33.8656314,35.5631648,3,3,54.96333509
287,-108,6,868300000,-108,128,loc_15,33.8656314,35.5631648,3,3,54.96333509
288,-94,10.2,868300000,-94,114,loc_15,33.8656314,35.5631648,3,3,54.96333509
289,-96,10.2,868100000,-96,116,loc_15,33.8656314,35.5631648,3,3,54.96333509
290,-94,8.8,868500000,-94,114,loc_15,33.8656314,35.5631648,3,3,54.96333509
291,-91,10,868100000,-91,111,loc_15,33.8656314,35.5631648,3,3,54.96333509
292,-93,5.8,868500000,-93,113,loc_15,33.8656314,35.5631648,3,3,54.96333509
293,-92,10.5,868300000,-92,112,loc_15,33.8656314,35.5631648,3,3,54.96333509
294,-88,10.5,868100000,-88,108,loc_16,33.8656275,35.5629387,3,1,75.84364346
295,-89,10,868100000,-89,109,loc_16,33.8656275,35.5629387,3,1,75.84364346
296,-88,10,868100000,-88,108,loc_16,33.8656275,35.5629387,3,1,75.84364346
297,-85,8,868500000,-85,105,loc_16,33.8656275,35.5629387,3,1,75.84364346
298,-87,10.2,868300000,-87,107,loc_16,33.8656275,35.5629387,3,1,75.84364346
299,-88,9.8,868100000,-88,108,loc_16,33.8656275,35.5629387,3,1,75.84364346
300,-91,9,868100000,-91,111,loc_16,33.8656275,35.5629387,3,1,75.84364346
301,-85,8.2,868500000,-85,105,loc_16,33.8656275,35.5629387,3,1,75.84364346
302,-89,10,868300000,-89,109,loc_16,33.8656275,35.5629387,3,1,75.84364346
303,-88,10.5,868100000,-88,108,loc_16,33.8656275,35.5629387,3,1,75.84364346
304,-85,8,868500000,-85,105,loc_16,33.8656275,35.5629387,3,1,75.84364346
305,-88,10.2,868100000,-88,108,loc_16,33.8656275,35.5629387,3,1,75.84364346
306,-90,9.8,868100000,-90,110,loc_16,33.8656275,35.5629387,3,1,75.84364346
307,-86,9.5,868300000,-86,106,loc_16,33.8656275,35.5629387,3,1,75.84364346
308,-89,9.2,868500000,-89,109,loc_16,33.8656275,35.5629387,3,1,75.84364346
309,-87,8.2,868500000,-87,107,loc_16,33.8656275,35.5629387,3,1,75.84364346
310,-88,10.5,868300000,-88,108,loc_16,33.8656275,35.5629387,3,1,75.84364346
311,-86,10.2,868300000,-86,106,loc_16,33.8656275,35.5629387,3,1,75.84364346
